1	7/14/2021	Gujarat	Surat	Residential Rural	32.6	24.8
2	12/31/2020	Andhra PradeshHyderbad	Industrial Area	45.4	19.0
3	6/7/2021	Gujarat	Surat	Residential Rural	15.8	72.7
4	5/2/2021	Gujarat	Surat	Residential Rural	64.5	99.1
5	10/19/2020	Gujarat	Surat	Industrial Area	43.0	71.5
6	4/16/2021	Andhra PradeshHyderbad	Industrial Area	20.2	33.6
7	11/22/2020	Andhra PradeshHyderbad	Residential Rural	87.2	36.9
8	5/23/2021	Gujarat	Surat	Industrial Area	63.0	76.9
9	5/16/2021	Andhra PradeshHyderbadIndustrial Area	21.8	70.0
10	4/26/2021	Gujarat	Surat	Residential Rural	5.2	29.6
11	6/9/2021	Andhra PradeshHyderbad	Industrial Area	15.9	44.6
12	12/27/2020	Gujarat	Surat	Residential Rural	2.7	62.3
13	8/7/2021	Andhra PradeshHyderbad	Residential Rural	45.6	72.1
14	9/6/2021	Andhra PradeshHyderbad	Industrial Area	85.4	55.4
15	10/3/2020	Gujarat	Surat	Industrial Area	19.8	12.6
16	10/6/2020	Gujarat	Surat	Engineering	47.9	51.7
17	11/24/2020	Andhra PradeshHyderbad	Industrial Area	80.3	32.0
18	8/27/2021	Andhra PradeshHyderbad	Residential Rural	91.0	29.6
19	1/13/2021	Gujarat	Surat	Industrial Area	20.6	88.8
20	12/3/2020	Andhra PradeshHyderbad	Residential Rural	97.4	40.5
21	1/26/2021	Andhra PradeshHyderbad	Residential Rural	9.0	5.2
22	11/11/2020	Andhra PradeshHyderbad	Residential Rural	68.9	97.9
23	10/18/2020	Gujarat	Surat	Residential Rural	52.4	46.0
24	6/12/2021	Andhra PradeshHyderbad	Industrial Area	90.2	51.1
25	1/1/2021	Andhra PradeshHyderbad	Residential Rural	85.3	83.7
26	1/23/2021	Gujarat	Surat	Residential Rural	96.6	73.8
27	8/28/2021	Gujarat	Surat	Residential Rural	48.3	51.6
28	11/7/2020	Andhra PradeshHyderbad	Industrial Area	45.0	21.7
29	3/22/2021	Gujarat	Surat	Industrial Area	28.9	46.6
30	5/20/2021	Gujarat	Surat	Residential Rural	23.4	35.5
31	8/13/2021	Gujarat	Surat	Residential Rural	95.1	13.1
32	10/15/2020	Gujarat	SuratIndustrial Area	99.2	88.3
33	8/23/2021	Gujarat	Surat	Residential Rural	45.9	97.8
34	9/20/2021	Gujarat	Surat	Residential Rural	74.5	78.6
35	5/24/2021	Gujarat	Surat	Residential Rural	27.1	53.9
36	10/12/2020	Gujarat	Surat	Industrial Area	97.4	32.5
37	1/18/2021	Andhra PradeshHyderbad	Residential Rural	63.7	79.5
38	5/23/2021	Andhra PradeshHyderbad	Engineering	54.4	5.8
39	3/26/2021	Gujarat	Surat	Residential Rural	30.6	98.7
40	11/29/2020	Andhra PradeshHyderbad	Residential Rural	98.0	98.7
41	8/14/2021	Gujarat	Surat	Industrial Area	92.2	99.8
42	11/20/2020	Gujarat	Surat	Residential Rural	84.4	41.7
43	7/5/2021	Andhra PradeshHyderbad	Industrial Area	68.4	70.8
44	1/4/2021	Andhra PradeshHyderbad	Residential Rural	53.5	15.7
45	3/13/2021	Andhra PradeshHyderbad	Residential Rural	81.7	64.5
46	10/18/2020	Gujarat	Surat	Residential Rural	39.8	40.4
47	3/1/2021	Andhra PradeshHyderbad	Residential Rural	43.3	35.6
48	7/26/2021	Gujarat	Surat	Residential Rural	8.3	6.9
49	5/4/2021	Andhra PradeshHyderbad	Residential Rural	63.2	82.0
50	11/13/2020	Andhra PradeshHyderbad	Residential Rural	20.5	21.6
51	8/27/2021	Gujarat	Surat	Residential Rural	21.3	69.5
52	12/31/2020	Gujarat	Surat	Residential Rural	52.3	87.6
53	8/9/2021	Gujarat	Surat	Engineering	53.9	80.4
54	10/17/2020	Gujarat	Surat	Residential Rural	30.7	73.7
55	8/8/2021	Andhra PradeshHyderbad	Industrial Area	89.6	61.8
56	5/8/2021	Andhra PradeshHyderbad	Industrial Area	36.1	48.7
57	12/30/2020	Gujarat	Surat	Residential Rural	60.3	54.5
58	9/9/2021	Gujarat	Surat	Industrial Area	85.2	97.4
59	2/24/2021	Gujarat	Surat	Industrial Area	72.7	28.4
60	10/22/2020	Andhra PradeshHyderbad	Residential Rural	99.7	56.1
61	12/4/2020	Gujarat	Surat	Industrial Area	8.8	23.5
62	4/5/2021	Andhra PradeshHyderbad	Residential Rural	23.7	82.2
63	2/25/2021	Gujarat	Surat	Residential Rural	9.9	96.6
64	1/28/2021	Andhra PradeshHyderbad	Residential Rural	60.0	19.0
65	10/14/2020	Andhra PradeshHyderbad	Residential Rural	64.4	79.5
66	4/21/2021	Gujarat	Surat	Industrial Area	93.1	91.7
67	7/31/2021	Gujarat	Surat	Residential Rural	77.5	79.0
68	8/11/2021	Gujarat	Surat	Residential Rural	3.2	75.8
69	1/25/2021	Gujarat	Surat	Residential Rural	14.6	78.1
70	6/12/2021	Andhra PradeshHyderbad	Residential Rural	12.2	35.3
71	11/11/2020	Gujarat	Surat	Industrial Area	56.1	62.7
72	4/7/2021	Andhra PradeshHyderbad	Industrial Area	19.2	72.3
73	12/6/2020	Andhra PradeshHyderbad	Industrial Area	57.9	61.2
74	10/2/2020	Andhra PradeshHyderbad	Residential Rural	50.9	92.2
75	1/8/2021	Andhra PradeshHyderbad	Residential Rural	25.2	52.0
76	4/2/2021	Andhra PradeshHyderbad	Residential Rural	47.4	81.7
77	11/9/2020	Gujarat	SuratIndustrial Area	55.8	64.6
78	11/3/2020	Gujarat	Surat	Residential Rural	16.9	12.4
79	5/19/2021	Andhra PradeshHyderbad	Residential Rural	56.9	95.1
80	7/30/2021	Andhra PradeshHyderbad	Industrial Area	29.3	19.1
81	2/9/2021	Andhra PradeshHyderbad	Engineering	22.5	84.2
82	2/21/2021	Andhra PradeshHyderbad	Residential Rural	71.8	31.2
83	5/3/2021	Gujarat	Surat	Residential Rural	14.5	83.4
84	11/4/2020	Gujarat	Surat	Residential Rural	11.5	15.6
85	7/23/2021	Gujarat	Surat	Residential Rural	56.3	28.8
86	12/4/2020	Gujarat	Surat	Residential Rural	82.7	20.1
87	12/24/2020	Gujarat	Surat	Industrial Area	43.4	90.4
88	9/29/2020	Gujarat	Surat	Industrial Area	53.3	68.8
89	11/10/2020	Andhra PradeshHyderbad	Residential Rural	24.3	5.9
90	7/3/2021	Gujarat	Surat	Industrial Area	86.4	47.5
91	9/8/2021	Andhra PradeshHyderbad	Residential Rural	91.9	6.0
92	10/1/2020	Gujarat	Surat	Industrial Area	98.4	29.9
93	9/18/2021	Gujarat	Surat	Industrial Area	94.2	40.2
94	8/23/2021	Andhra PradeshHyderbad	Residential Rural	58.6	58.6
95	10/6/2020	Gujarat	Surat	Residential Rural	92.6	6.2
96	1/26/2021	Gujarat	Surat	Industrial Area	61.3	23.4
97	3/9/2021	Andhra PradeshHyderbad	Residential Rural	64.8	82.8
98	5/7/2021	Andhra PradeshHyderbad	Engineering	3.5	75.3
99	10/30/2020	Andhra PradeshHyderbad	Industrial Area	92.8	64.5
100	9/7/2021	Andhra PradeshHyderbad	Residential Rural	34.4	17.2
101	8/3/2021	Andhra PradeshHyderbad	Industrial Area	82.3	19.9
102	1/29/2021	Andhra PradeshHyderbad	Industrial Area	21.3	13.2
103	6/9/2021	Andhra PradeshHyderbad	Industrial Area	15.3	69.3
104	6/18/2021	Gujarat	Surat	Residential Rural	66.5	16.4
105	9/1/2021	Andhra PradeshHyderbad	Residential Rural	31.2	86.0
106	8/5/2021	Andhra PradeshHyderbad	Residential Rural	29.7	46.9
107	10/2/2020	Gujarat	SuratIndustrial Area	2.6	82.7
108	8/25/2021	Andhra PradeshHyderbad	Residential Rural	64.9	98.2
109	5/5/2021	Andhra PradeshHyderbad	Engineering	90.4	58.6
